task_number,average_discounted_return,average_discounted_return_lo,average_discounted_return_up
0,0.2725955299226783,0.25667604119378024,0.2885150186515764
1,0.2933872982548827,0.2775206975623362,0.30925389894742916
2,0.27178301749474976,0.2531991357173018,0.2903668992721977
3,0.28495804932876007,0.2639111486589325,0.3060049499985876
4,0.28371323461419273,0.2654072055638938,0.30201926366449167
5,0.2779391819139753,0.25991246307768634,0.2959659007502643
6,0.24597469342573816,0.2269827272739373,0.264966659577539
7,0.24040833566913708,0.22168924971529647,0.2591274216229777
8,0.2843376425264199,0.26578946787067126,0.30288581718216856
9,0.2351462019972714,0.2167460195461826,0.2535463844483602
