time_step,prior_use_ratio
0,100.0
2341,100.0
4681,100.0
9227,100.0
11481,100.0
11612,100.0
13942,100.0
18401,100.0
20741,100.0
21367,100.0
24327,100.0
27308,100.0
31884,100.0
32044,100.0
34442,100.0
34672,100.0
38960,100.0
41358,100.0
43740,100.0
43822,100.0
48137,100.0
50528,100.0
50921,100.0
55235,100.0
57568,100.0
59905,100.0
62183,100.0
62200,100.0
66439,100.0
68818,100.0
71206,100.0
71318,100.0
75520,100.0
77856,100.0
80170,100.0
80419,100.0
146200,100.0
149213,100.0
152435,100.0
152467,100.0
259869,100.0
328333,100.0
431806,100.0
431837,100.0
0,100.0
2346,100.0
4692,100.0
9346,100.0
10018,100.0
14768,100.0
16197,100.0
18520,100.0
20894,100.0
21238,100.0
25466,100.0
27271,100.0
31916,100.0
32000,100.0
34420,100.0
34726,100.0
38972,100.0
41387,100.0
43785,100.0
43850,100.0
48168,100.0
50544,100.0
50865,100.0
55123,100.0
57505,100.0
59887,100.0
59965,100.0
64358,100.0
66686,100.0
68007,100.0
72296,100.0
74616,100.0
76938,100.0
77159,100.0
79779,100.0
82112,100.0
130265,100.0
134476,100.0
137429,100.0
137435,100.0
285875,100.0
353340,100.0
428495,100.0
0,100.0
2338,100.0
4685,100.0
9243,100.0
11032,100.0
12138,100.0
14491,100.0
18456,100.0
20110,100.0
20792,100.0
26715,100.0
27240,100.0
31907,100.0
31968,100.0
34366,100.0
34595,100.0
38916,100.0
41321,100.0
43725,100.0
43755,100.0
48029,100.0
50445,100.0
50843,100.0
55007,100.0
57387,100.0
59760,100.0
59959,100.0
64266,100.0
66602,100.0
68921,100.0
71195,100.0
71246,100.0
76308,100.0
78621,100.0
80939,100.0
81224,100.0
132231,100.0
134641,100.0
137034,100.0
137059,100.0
443606,100.0
509051,100.0
676599,100.0
730733,100.0
0,100.0
2336,100.0
4684,100.0
9301,100.0
10062,100.0
13875,100.0
17189,100.0
19513,100.0
22008,100.0
22427,100.0
24528,100.0
27298,100.0
31879,100.0
32083,100.0
34474,100.0
34777,100.0
39051,100.0
41434,100.0
43845,100.0
43929,100.0
48238,100.0
50644,100.0
50964,100.0
55152,100.0
57524,100.0
59916,100.0
60081,100.0
64447,100.0
66772,100.0
68263,100.0
73299,100.0
75614,100.0
77943,100.0
78215,100.0
78863,100.0
81336,100.0
133204,100.0
135934,100.0
138178,100.0
572638,100.0
639988,100.0
728463,100.0
857959,100.0
0,100.0
2346,100.0
4701,100.0
9294,100.0
10619,100.0
12364,100.0
14772,100.0
18361,100.0
20697,100.0
22503,100.0
23900,100.0
27261,100.0
31837,100.0
31971,100.0
34369,100.0
34704,100.0
38975,100.0
41360,100.0
43769,100.0
43853,100.0
48184,100.0
50576,100.0
50889,100.0
55232,100.0
57568,100.0
59650,100.0
63886,100.0
66289,100.0
68675,100.0
68795,100.0
73032,100.0
75343,100.0
77668,100.0
77914,100.0
78147,100.0
80785,100.0
120165,100.0
122767,100.0
125872,100.0
126157,100.0
267611,100.0
360098,100.0
391673,100.0
0,100.0
2351,100.0
4682,100.0
9239,100.0
11565,100.0
13889,100.0
13906,100.0
18486,100.0
20591,100.0
20831,100.0
25705,100.0
27272,100.0
31931,100.0
31965,100.0
34372,100.0
34631,100.0
38904,100.0
41312,100.0
43706,100.0
43776,100.0
48088,100.0
50466,100.0
50799,100.0
55149,100.0
57489,100.0
59690,100.0
112151,100.0
116695,100.0
119057,100.0
123158,100.0
127265,100.0
129596,100.0
131915,100.0
132290,100.0
132422,100.0
134698,100.0
190301,100.0
193428,100.0
195614,100.0
295306,100.0
550848,100.0
579265,100.0
720757,100.0
720799,100.0
0,100.0
2343,100.0
4684,100.0
9237,100.0
11563,100.0
13897,100.0
13901,100.0
18422,100.0
20761,100.0
