prior_use_ratio_mean,prior_use_ratio_lo,prior_use_ratio_up
100.0,100.0,100.0
97.21999999999998,97.21999999999994,97.22000000000003
94.44,94.44,94.44
91.67,91.67,91.67
88.89,88.89,88.89
86.11,86.11,86.11
83.33,83.33,83.33
80.56,80.56,80.56
77.78,77.78,77.78
75.0,75.0,75.0
72.22,72.22,72.22
69.44,69.44,69.44
66.67,66.67,66.67
63.89000000000001,63.889999999999986,63.89000000000003
61.10999999999999,61.10999999999997,61.110000000000014
58.330000000000005,58.329999999999984,58.33000000000003
55.56,55.56,55.56
52.78,52.78,52.78
50.0,50.0,50.0
47.22,47.22,47.22
44.44,44.44,44.44
41.67,41.67,41.67
38.89,38.89,38.89
36.11,36.11,36.11
33.33,33.33,33.33
30.56,30.56,30.56
27.78,27.78,27.78
25.0,25.0,25.0
22.22,22.22,22.22
19.44,19.44,19.44
16.67,16.67,16.67
13.89,13.89,13.89
11.11,11.11,11.11
8.33,8.33,8.33
5.56,5.56,5.56
2.78,2.78,2.78
0.0,0.0,0.0
